verdict,business_id,business_name,candidate_name,url,platform,candidate_type,lead_score,match_reason,dm_text,send_date,sender,send_status,memo
SEND_READY,ai_net_business,AIネットビジネス,沖縄カフェ店主のブログ | SNS更新が続かない,https://okinawa-cafe-blog.jp/sns-problem,google_serp,store_owner_struggling_sns,9,SNS更新困ってる投稿あり。ニーズが明確で最優先,はじめまして！店舗向けAI集客のサポートをしています。SNS更新が続かないお悩み、ChatGPTとテンプレートを使ってかなり楽になる方法があります。よろしければ詳細をお送りしましょうか？,,,未送信,
SEND_READY,ai_net_business,AIネットビジネス,@naha_esthe_owner | Instagram,https://www.instagram.com/naha_esthe_owner/,instagram_serp,beauty_owner_sns_struggle,9,サロン経営者がSNS悩みを公開投稿。直接アプローチOK,はじめまして！サロン向けAI集客サポートをしています。投稿が続かないお悩み、AI＋テンプレートで週1作業にできる仕組みがあります。よろしければ詳細をお伝えできますか？😊,,,未送信,
SEND_READY,ryukyu_hotpot,琉球火鍋,Okinawa Marriott Resort & Spa | Concierge,https://okinawa-marriott.co.jp/concierge,google_serp,luxury_hotel,9,高級ホテルのコンシェルジュは記念日ディナーへの紹介確度高い,突然のご連絡失礼いたします。那覇の琉球火鍋です。誕生日・記念日ディナーをお探しのご宿泊者様へご紹介いただける機会があればとご連絡しました。黒毛和牛・アグー豚の高単価火鍋で特別な夜を演出します。,,,未送信,
SEND_READY,tachinomiya,TACHINOMIYA,@okinawa_travel_guide2024 | Instagram,https://www.instagram.com/okinawa_travel_guide2024/,instagram_serp,tourism_media,9,旅行IG12k。送客・PRで直接来店につながる最優先,はじめまして！国際通りの立ち飲みBAR・TACHINOMIYAです。沖縄旅行の投稿いつも拝見してます🌺 もしよければ2軒目スポットとしてご紹介いただけたら嬉しいです！,,,未送信,
SEND_READY,trees_catering,Trees Catering,琉球エンターテイメント株式会社 | 沖縄のイベント企画・運営,https://ryukyu-entertainment.co.jp/contact,google_serp,event_company,9,イベント会社は最優先。食事手配が直接需要に一致,はじめまして！沖縄でケータリングを運営しているTREE'sです。法人懇親会や展示会のフード手配でよくお声がけいただきます。よろしければ一度、お話を聞かせていただけますか？,,,未送信,
SEND_READY,ai_net_business,AIネットビジネス,沖縄居酒屋オーナーのTwitter | 集客の悩み,https://twitter.com/okinawa_izakaya_owner,threads_serp,restaurant_owner_ai_interest,8,AI活用に興味あり発言。ニーズ一致でタイミングが良い,はじめまして！店舗向けAI集客のサポートをしています。AI活用・SNS自動化に興味があるとのこと。実際に居酒屋さんで使っている方法をよろしければご紹介できますか？,,,未送信,
SEND_READY,ryukyu_hotpot,琉球火鍋,@okinawa_luxury_stays | Instagram,https://www.instagram.com/okinawa_luxury_stays/,instagram_serp,inbound_media,8,インバウンドIG8.5k。英語対応済みのため紹介効果大,"Hello! We're Ryukyu Hotpot in Naha, Okinawa – premium wagyu hotpot for special occasions. We'd love to be featured on your account for anniversary and birthday dinner recommendations! Feel free to DM us 🍲",,,未送信,
SEND_READY,tachinomiya,TACHINOMIYA,ゲストハウスTRIP那覇 | 国際通り徒歩5分,https://guesthouse-trip-naha.com,google_serp,guesthouse,8,国際通り徒歩5分。スタッフから2軒目で紹介してもらえる,はじめまして、国際通りの立ち飲みBAR・TACHINOMIYAです。ゲストハウスのご宿泊者様に、2軒目の候補としてご紹介いただける機会があればとDMしました。よろしければ一度ご来店ください😊,,,未送信,
SEND_READY,trees_catering,Trees Catering,OKINAWAレンタルスペース那覇 | 会議室・パーティースペース,https://okinawa-rentalspace-naha.com,google_serp,rental_space,8,レンタルスペースは飲食手配を探している確率高,はじめまして、出張ケータリングのTREE'sです。貴社スペースでのパーティーやイベントにフードをご提供できればと思いご連絡しました。ご利用者様へのご案内など、お役に立てることがあればぜひ。,,,未送信,
REVISE,ai_net_business,AIネットビジネス,整体院まつもと | Googleビジネスプロフィール放置中,https://maps.google.com/?cid=123456789,google_serp,store_gbp_inactive,7,GBP放置は明確な課題。ただし電話 or DM手段を変更,はじめまして！Googleビジネスプロフィールの自動投稿サポートをしています。投稿を月2本程度自動化できる仕組みがあります。もしよければ詳細をお送りします。,,,未送信,
