raw_id,business_id,offer_id,target_id,playbook_id,source_id,route_type,platform,provider,fetched_at,created_at,company_name,account_name,account_username,website_url,account_url,post_url,inquiry_url,email_public,phone_public,location,post_text,profile_text,detected_need,detected_intent,business_category_hint,match_reason_hint,competitor_risk_hint,candidate_category_hint,source_confidence,fetch_cost_estimate,status,ext_json,memo

run_1783324675712_0,trees_catering,of_catering_corporate,tg_corp_soumu,pb_catering_corp,qt_corp_event,A,google,mock,2026-07-06T07:57:55.721Z,2026-07-06T07:57:55.721Z,株式会社サンプル商事 | 沖縄の企業イベント企画,株式会社サンプル商事 | 沖縄の企業イベント企画,,https://sample-shoji.co.jp,https://sample-shoji.co.jp,,,,,沖縄県,沖縄県内の法人向け懇親会・歓送迎会・忘年会などのイベント企画をサポートしています。お気軽にお問い合わせください。,,,,catering,acquisition,none,,0.5,0,raw,{},
run_1783324675712_1,trees_catering,of_catering_corporate,tg_corp_soumu,pb_catering_corp,qt_corp_event,A,google,mock,2026-07-06T07:57:55.723Z,2026-07-06T07:57:55.723Z,沖縄イベントプランニング株式会社,沖縄イベントプランニング株式会社,,https://okinawa-event-planning.co.jp,https://okinawa-event-planning.co.jp,,,,,沖縄県,展示会・法人パーティー・表彰式の企画・運営。ケータリングのご手配もご相談ください。,,,,catering,acquisition,none,,0.5,0,raw,{},
run_1783324675712_2,trees_catering,of_catering_corporate,tg_corp_soumu,pb_catering_corp,qt_corp_event,A,google,mock,2026-07-06T07:57:55.724Z,2026-07-06T07:57:55.724Z,@okinawa_bar_lounge | Instagram,@okinawa_bar_lounge | Instagram,,https://www.instagram.com/okinawa_bar_lounge/,https://www.instagram.com/okinawa_bar_lounge/,,,,,沖縄県,那覇市内のBAR。貸切イベント・プライベートパーティー承ります。#沖縄BAR #貸切,,,,catering,acquisition,none,,0.5,0,raw,{},
run_1783324675712_3,trees_catering,of_catering_corporate,tg_corp_soumu,pb_catering_corp,qt_corp_event,A,google,mock,2026-07-06T07:57:55.724Z,2026-07-06T07:57:55.724Z,ホテルXXX那覇 | 宴会・イベント,ホテルXXX那覇 | 宴会・イベント,,https://hotel-xxx-naha.co.jp/banquet,https://hotel-xxx-naha.co.jp/banquet,,,,,沖縄県,宴会場・会議室完備。各種ご宴会・企業レセプション・結婚式二次会を承ります。,,,,catering,acquisition,none,,0.5,0,raw,{},
run_1783324675712_4,trees_catering,of_catering_corporate,tg_corp_soumu,pb_catering_corp,qt_corp_event,A,google,mock,2026-07-06T07:57:55.725Z,2026-07-06T07:57:55.725Z,沖縄旅行おすすめグルメ10選 | travel_okinawa,沖縄旅行おすすめグルメ10選 | travel_okinawa,,https://www.instagram.com/travel_okinawa/,https://www.instagram.com/travel_okinawa/,,,,,沖縄県,"Okinawa travel foodie. Best restaurants in Naha, Okinawa. Follow for daily updates! #OkinawaTravel #NahaFood",,,,catering,acquisition,,,0.5,0,duplicate,{},
run_1783324675712_5,trees_catering,of_catering_corporate,tg_corp_soumu,pb_catering_corp,qt_corp_event,A,google,mock,2026-07-06T07:57:55.725Z,2026-07-06T07:57:55.725Z,誕生日ディナー 那覇のおすすめレストラン | 記念日グルメ,誕生日ディナー 那覇のおすすめレストラン | 記念日グルメ,,https://naha-gourmet-guide.com/birthday-dinner,https://naha-gourmet-guide.com/birthday-dinner,,,,,沖縄県,那覇で誕生日ディナーを特別な場所で過ごしたい方へ。記念日におすすめのレストランを厳選してご紹介します。,,,,catering,acquisition,none,,0.5,0,raw,{},
run_1783324675712_6,trees_catering,of_catering_corporate,tg_corp_soumu,pb_catering_corp,qt_corp_event,A,google,mock,2026-07-06T07:57:55.725Z,2026-07-06T07:57:55.725Z,@naha_salon_beauty | 沖縄美容サロン,@naha_salon_beauty | 沖縄美容サロン,,https://www.instagram.com/naha_salon_beauty/,https://www.instagram.com/naha_salon_beauty/,,,,,沖縄県,那覇市の美容サロン。脱毛・ホワイトニング・よもぎ蒸しを提供しています。#那覇美容 #脱毛サロン,,,,catering,acquisition,,,0.5,0,duplicate,{},
run_1783324675712_7,trees_catering,of_catering_corporate,tg_corp_soumu,pb_catering_corp,qt_corp_event,A,google,mock,2026-07-06T07:57:55.725Z,2026-07-06T07:57:55.725Z,沖縄カフェ店主のつぶやき | SNSの更新が続かない件,沖縄カフェ店主のつぶやき | SNSの更新が続かない件,,https://okinawa-cafe-owner.blog.jp/sns-trouble,https://okinawa-cafe-owner.blog.jp/sns-trouble,,,,,沖縄県,毎日投稿しようと思っても全然続かない。インスタも更新止まって半年...お客さんに申し訳ない気持ちです。,,,,catering,acquisition,none,,0.5,0,raw,{},
run_1783324675712_8,trees_catering,of_catering_corporate,tg_corp_soumu,pb_catering_corp,qt_corp_event,A,google,mock,2026-07-06T07:57:55.726Z,2026-07-06T07:57:55.726Z,Okinawa wagyu hotpot experience | Premium dining Naha,Okinawa wagyu hotpot experience | Premium dining Naha,,https://okinawa-premium-dining.com/wagyu-hotpot,https://okinawa-premium-dining.com/wagyu-hotpot,,,,,沖縄県,"Experience authentic Okinawa wagyu hotpot in Naha. Perfect for special occasions, birthday dinners, and anniversary celebrations.",,,,catering,acquisition,none,,0.5,0,raw,{},
